Hoja1: Table 1,,,,,
ITEM1_DESC,SIZE_DESC,Departamento,Precio Estimado,,
Huevos Poche,N/A,N/A,"5,900",,
Huevos Tulum,N/A,N/A,"11,400",,
Mantequilla y Syrup o Miel de Abejas,N/A,N/A,"5,900",,
"Mantequilla, Syrup y Tocineta",N/A,N/A,"8,000",,
"Mantequilla, Syrup y Salchichas",N/A,N/A,"8,000",,
Mantequilla y Syrup con Huevo Frito,N/A,N/A,"8,600",,
"Mantequilla, Syrup, Huevo frito y Tocineta",N/A,N/A,"9,900",,
"Mantequilla, Syrup, Huevo frito y Salchichas",N/A,N/A,"9,900",,
Waffle D'Choclo,N/A,N/A,"8,900",,
Mini Waffle D'Yuca,N/A,N/A,"4,500",,
Pancakes de Ahuyama,N/A,N/A,"9,500",,
Parisien,N/A,N/A,"12,400",,
Bretonne,N/A,N/A,"12,500",,
Crespolinis,N/A,N/A,"13,500",,
Crepe Salmon Roll,N/A,N/A,"28,200",,
Crepe Champiñón Fondue,N/A,N/A,"19,600",,
Panne Cook Champiñón Fondue,N/A,N/A,"22,500",,
Ensalada Mediterránea Calamres,N/A,N/A,"28,900",,
Ensalada Mediterránea Camarones,N/A,N/A,"28,900",,
Vaso Tres Bolas de Helado,N/A,N/A,"6,500",,
Granola con Yogurt,N/A,N/A,"12,900",,
Crepe de Camarones Rosarito,N/A,N/A,"28,200",,
Crepe de Pollo Rosarito,N/A,N/A,"17,900",,
Crepe de Pollo al Curry al estilo Hindú,N/A,N/A,"17,900",,
Crepe Sicilia,N/A,N/A,"14,900",,
Crepe Napolitano,N/A,N/A,"12,400",,
Pita Ópera,N/A,N/A,"15,900",,
Pita Champiñón Pocket,N/A,N/A,"16,900",,
Copa Dama Blanca,N/A,N/A,"6,900",,
Pita Champiñón Pocket con huevo,N/A,N/A,"17,300",,
Crepe Chocolate Fondue,N/A,N/A,"8,400",,
Crepe de Arequipe y Queso,N/A,N/A,"6,900",,
Ensalada Valparaíso,N/A,N/A,"29,900",,
Crepe Natura,N/A,N/A,"14,500",,
"Crepe de Champiñones, Alcachofa y Queso",N/A,N/A,"16,500",,
Crepe Montes de María,N/A,N/A,"15,900",,
Crepe Luz de la Selva,N/A,N/A,"17,500",,
Pita Popeye Pocket,N/A,N/A,"14,600",,
Pita Griega,N/A,N/A,"15,900",,
Ensalada Montes de María,N/A,N/A,"16,400",,
Panne Cook de Palmitos al Ajillo,N/A,N/A,"22,000",,
Panne Cook de Calamares al Ajillo,N/A,N/A,"24,200",,
Copa Brownie,N/A,N/A,"8,500",,
Copa Merengue Glazé,N/A,N/A,"10,700",,
Mini Waffle Tradicional,N/A,N/A,"5,900",,
Mini Waffles de Miel de Abejas,N/A,N/A,"5,900",,
