Hoja1: Table 1,,,,,
ITEM1_DESC,SIZE_DESC,Departamento,Precio Estimado,,
Bebida Boing  con jugo de uva fortificada 1 l,1000ML,Abarrotes,14.5,,
Frijoles negros La Sierra  refritos en lata 580 g,580GR,Abarrotes,14.9,,
Néctar Del Valle  de mango 1 l,1000ML,Abarrotes,20.5,,
Leche condensada Nestlé La Lechera original 90 g,90GR,Abarrotes,7.5,,
VERDE VALLE ARROZ GRANO GRUESO 750G,750GR,Abarrotes,20,,
Lentejas Verde Valle  500 g,500GR,Abarrotes,22.9,,
Agua mineral Peñafiel  600 ml,600ML,Abarrotes,8.5,,
Spaguetti Italpasta  500 g,500GR,Abarrotes,12,,
Sopa de fideo Italpasta  cambray 180 g,180GR,Abarrotes,4,,
Sopa de codo Italpasta  rayado 200 g,200GR,Abarrotes,5.3,,
Harina de trigo San blas  1 kg,1KG,Abarrotes,12.5,,
Aceite puro de soya Great Value  946 ml,946ML,Abarrotes,28.5,,
Azúcar mascabado Great Value  1 kg,1 KG,Abarrotes,32.6,,
Agua Great Value  paquete con 6 botellas de 1 l c/u,6PC1LT,Abarrotes,19.9,,
Atún en agua El Dorado Forte aleta amarilla 140 g,140GR,Abarrotes,11,,
Caldo de pollo Riko Pollo  menos grasa 10 cubos,10CB,Abarrotes,15.5,,
Duraznos Great Value  mitades en almíbar 820 g,820GR,Abarrotes,37,,
Café soluble Great Value  descafeinado colombiano gourmet 175 g,175G,Abarrotes,99,,
Bebida Boing  pulpa de mango 500 ml,500ML,Abarrotes,7.5,,
Sopa instantánea Maruchan  ramen sabor camarón limón y habanero 85 g,85GR,Abarrotes,5.9,,
Agua Bonafont  6 l,6L,Abarrotes,24.9,,
EMPERADOR GALLETA CHOCOLATE CHAROLA 291G,291GR,Abarrotes,28,,
Ensalada de verduras La Costeña  en lata 410 g,410GR,Abarrotes,13.5,,
Chiles Chilpotles San Marcos  adobados 215 g,215 G,Abarrotes,14.5,,
Atún El Dorado Forte aleta amarilla en aceite 140 g,140GR,Abarrotes,11,,
MARLBORO ROJOS 20S CAJETILLA DURA ,20.0PC,Abarrotes,63,,
Sustituto de crema para café Coffee Mate  sin lactosa 400 g,400GR,Abarrotes,49,,
Frijol pinto La Merced  907 g,907GR,Abarrotes,43.5,,
Mermelada Clemente Jacques  fresa 980 g,980GR,Abarrotes,45,,
Vinagre blanco Clemente Jacques  de alcohol de caña 3.75 l,3.75LT,Abarrotes,37,,
Arroz Sos  grano largo uruguayo 1 kg,1KG,Abarrotes,25,,
Néctar Jumex  durazno 1 l,1000ML,Abarrotes,18,,
Chiles jalapeños La Costeña  enteros en escabeche 380 g,380 G,Abarrotes,16.5,,
Frijoles bayos La Costeña  refritos 430 g,430GR,Abarrotes,13.2,,
Sopa de caracol La Moderna  No.1 200 g,200GR,Abarrotes,6.5,,
Refresco Coca Cola  original 355 ml,355ML,Abarrotes,13.5,,
Salsa de soya Maggi  290 ml,290ML,Abarrotes,25,,
Frijoles peruanos Isadora  refritos en bolsa 430 g,430GR,Abarrotes,14.9,,
Frijoles negros Isadora  refritos en bolsa 430 g,430GR,Abarrotes,13.9,,
Mermelada de fresa McCormick  270 g,270GR,Abarrotes,20.9,,
Barras Bimbo Multigrano nuez 204 g,204GR,Abarrotes,34.9,,
Chocolate en polvo Morelia Presidencial en bolsa 700 g,700GR,Abarrotes,48.9,,
Producto lácteo Nutri  en polvo 120 g,120GR,Abarrotes,12,,
Galletas Triki Trakes  6 paquetes con 6 pzas c/u,306GR,Abarrotes,25,,
Galletas Gamesa Habaneras integral 4 rollos 468 g,468GR,Abarrotes,40,,
Agua Bonafont  juizzy guayaba 1 l,1L,Abarrotes,9.5,,
Bebida Gatorade  sabor naranja 1 l,1000ML,Abarrotes,23,,
Cereal Nestlé Trix sabor frutas 480 g,480GR,Abarrotes,55,,
Codillo de cerdo con hueso por kg,KILO,Carnes y Congelados,59,,
Chuleta de cerdo por kg,KILO,Carnes y Congelados,94,,
Chuleta de cerdo ahumada por kg,KILO,Carnes y Congelados,97,,
Pollo entero sin cortar 2.2 kg aprox,KILO,Carnes y Congelados,29,,
Milanesa de cerdo por kg,KILO,Carnes y Congelados,86,,
Carne molida de cerdo por kg,KILO,Carnes y Congelados,94,,
Pierna y muslo de pollo corte americano por kg,KILO,Carnes y Congelados,28.5,,
Costillas para asar por kg,KG,Carnes y Congelados,94,,
Pierna de cerdo en trozo por kg,KILO,Carnes y Congelados,94,,
Bistec de res por kg,KILO,Carnes y Congelados,162,,
Alitas de pollo adobadas por kg,KILO,Carnes y Congelados,82,,
Pechuga de pollo con hueso corte americano por kg,KILO,Carnes y Congelados,59,,
Milanesa de bola de res por kg,KILO,Carnes y Congelados,169,,
Fajitas de res asador por kg,KILO,Carnes y Congelados,182,,
Nuggets de pollo por kg,KILO,Carnes y Congelados,59,,
Cecina de res por kg,KILO,Carnes y Congelados,199,,
Pechuga de pollo con hueso y piel por kg,KILO,Carnes y Congelados,89,,
Carne de res para asar por kg,KILO,Carnes y Congelados,149,,
Milanesa de res pulpa blanca por kg,KILO,Carnes y Congelados,162,,
Carne congelada para hamburguesas Steak Crown Burger premium de arrachera 8 pzas de 150 g c/u,1.2 KG,Carnes y Congelados,85,,
Nuggets de pollo Del Día  500 g,500G,Carnes y Congelados,38,,
Papas a la francesa Great Value  corte regular 1 kg,1KG,Carnes y Congelados,49,,
Helado Nestlé  sabor napolitano 3.6 l,3.6 LT,Carnes y Congelados,99,,
Carne para hamburguesa Aurrera  1 pza,75 GR,Carnes y Congelados,3.5,,
TH CHICOLASTIC CLASSIC 120S,120,Cuidado Para El Bebe,26,,
Toallitas húmedas Bebyto  para bebé 1 paquete con 120 pzas,120PZ,Cuidado Para El Bebe,20,,
Toallitas húmedas KleenBebé AbsorSec con aroma a manzanilla 120 pzas,UNICO,Cuidado Para El Bebe,20,,
Pañales KleenBebé Suavelastic  etapa 5 jumbo 60 pzas,JUMBO,Cuidado Para El Bebe,249.01,,
Pañales Bebyto  jumbo 40 piezas,JUMBO,Cuidado Para El Bebe,118,,
Pañales desechables Bbtips Sensitive Chicolastic talla 7 xxx grande unisex 40 pzas,XXJUMB,Cuidado Para El Bebe,206,,
Toallitas húmedas KleenBebé Suavelastic 300 pzas,3PACK,Cuidado Para El Bebe,99,,
Pañales KleenBebé Suavelastic  etapa 6 extra jumbo 60 pzas,XJUMBO,Cuidado Para El Bebe,259,,
Pañales KleenBebé AbsorSec Ultra  jumbo 80 pzas,JUM,Cuidado Para El Bebe,223,,
Pañales Huggies UltraConfort  etapa 6 niño 60 pzas,XJUMBO,Cuidado Para El Bebe,315,,
Pañales Huggies UltraConfort  etapa 6 niña 60 pzas,XJUMBO,Cuidado Para El Bebe,315,,
Pañales Huggies All Around  autoajustables etapa 6 unisex 40 pzas,XJUMBO,Cuidado Para El Bebe,206,,
Alimento lácteo Enfagrow Premium Promental Etapa 3 a partir de 1 año 1.5 kg,1500GR,Cuidado Para El Bebe,418,,
Pañales KleenBebé ComodiSec Max jumbo 60 pzas,JUM,Cuidado Para El Bebe,183,,
Pañales Desechables KleenBebé Movilastic Etapa 6 Unisex 40 Piezas,EXT,Cuidado Para El Bebe,175,,
Pañales Kiddies  Antifugas talla extra grande 40 pzas,JUMBO,Cuidado Para El Bebe,149,,
Pañales Huggies UltraConfort  etapa 4 niña 60 pzas,GRANDE,Cuidado Para El Bebe,275,,
